transaction_id,account_id,date_time,amount,currency,transaction_type,merchant_payee_name,category,narration_description,balance_after_transaction
1deaaeee-49b9-4ac6-91b4-bf77c00100f4,ACC6382,2024-01-29 08:10:34,20392.34,INR,credit,N/A,Income,Refund,144138.59
dd0698d2-f6c0-4212-a7e9-3985db330eab,ACC3923,2024-05-15 02:04:48,4496.4,INR,debit,Swiggy,Shopping,ATM Withdrawal,19410.85
a731b4e0-d0cd-401c-8bbd-7ac92572205e,ACC5304,2024-10-22 17:02:43,8071.41,INR,debit,Uber,Travel,Refund,118048.78
4dac4aa6-6933-4fa9-b129-c5486ed69eed,ACC7903,2023-07-26 02:44:27,42877.43,INR,credit,N/A,Income,Bill Payment,76676.46
f4e7a795-1194-483f-bae8-1f09be46c49e,ACC8368,2024-12-28 01:01:16,41251.18,INR,credit,N/A,Income,Salary Credit,170375.85
9a58df3a-2f71-485e-9c84-4dbe3e299189,ACC9391,2025-07-05 01:26:26,42974.32,INR,debit,BigBazaar,Health,UPI Payment,80469.85
c4adbcc8-2f38-449b-9287-56d6f1266821,ACC5668,2024-11-19 09:09:37,1819.09,INR,debit,BigBazaar,Shopping,IMPS Transfer,122139.27
d8624c42-d6a5-4337-9f63-05648e6f2aa1,ACC2454,2025-02-19 11:16:47,39693.4,INR,debit,IRCTC,Groceries,IMPS Transfer,129844.71
ffbe0854-cb9b-4fc7-b13c-fd6416b9217a,ACC4432,2024-08-23 07:47:09,21923.22,INR,debit,PhonePe,Investment,Salary Credit,70674.78
a1af97ef-743d-4bb5-a425-c01189b35c87,ACC4105,2024-06-30 19:52:04,33141.74,INR,credit,N/A,Income,NEFT Transfer,19444.5
9262e08a-7f5a-4e05-b89d-e46f4a44aa2f,ACC4625,2025-03-17 15:43:46,45418.35,INR,debit,Swiggy,Shopping,POS Purchase,198631.72
d6f1a1f0-b1a0-4043-b197-ddc44700be17,ACC4400,2024-08-03 00:16:44,18966.87,INR,debit,Amazon,Investment,IMPS Transfer,64897.5
0cf2ef41-cc47-4dbd-837f-135a78499c71,ACC3153,2025-01-24 11:46:37,46674.5,INR,credit,N/A,Income,Refund,113212.5
e7b5dbaa-bf8d-4606-a51e-544c23943d30,ACC2536,2025-01-11 04:45:33,44764.52,INR,credit,N/A,Income,NEFT Transfer,20573.31
91a9859b-ba58-47fe-b42a-f41ea6fadad6,ACC6649,2024-09-27 20:21:23,43309.42,INR,debit,Swiggy,Groceries,POS Purchase,79873.88
a8579efc-a2a9-4216-8399-559a563f0d6e,ACC7210,2023-01-04 18:30:02,45598.51,INR,debit,Flipkart,Shopping,Salary Credit,98680.41
